email	sites	exclusions	template	subject_line	header	copy	asset_design	voucher	valid_to	voucher_banner	qr_code	sign_off_copy	terms_and_conditions	voucher_instruction
Booking Launch – 1	All branded bars	All Scottish sites	3	Your chance to win a magnum of Ciroc Ignite	Celebrate $dynamic2$ new website launch	"##Hi $forename$,##
##We at $dynamic1$ are celebrating the launch of our ##new website.##
##We've made it easier than ever to find out ##what’s going on##, and plan, book and pay for your great nights out with us.##
##Booking your VIP booth or money saving drinks packages has never been easier.##"	Embed link in image	Click here to see how it works (Video link)	End  September	ciroc		"##Book in September and you'll be entered into our prize draw to win a VIP evening, booth and magnum of Ciroc for up to 10.##
##Book now! It could be you…##
##The $dynamic1$ team##"	"Over 18's only. Offer not available in Scotland. Winner will be drawn at random from bookings received from 5th Sept 2016 to 30th September 2016, and notified within 7 days of the draw being made. Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time. If you wish to enter the competition, please write to Ciroc Competition, Stonegate Pub Company 500 Capability Green LU1 3LS."	
Booking Launch – 2	All branded bars	All Scottish sites	3	Celebrate $dynamic2$ new website launch	Your chance to win a magnum of Ciroc Ignite	"##Hi $forename$,##
##Check out just how easy it is to plan, book and pay for you next great night out at $dynamic1$.##
##Booking your VIP booth, or money saving drinks package, has never been easier.##
##See how it works here##.(Video link)##"	Embed link in image	n/a	End October	ciroc		"##Book in October  and you'll be entered into our prize draw to win a VIP evening, booth and magnum of Ciroc for up to 10.##
##Book your best night out, and the Ciroc could be yours!##
##The $dynamic1$ team.##"	"Over 18's only. Offer not available in Scotland. Winner will be drawn at random from bookings received from 1st October 2016 to 31st October 2016, and notified within 7 days of the draw being made. Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time. If you wish to enter the competition, please write to Ciroc Competition, Stonegate Pub Company 500 Capability Green LU1 3LS."	
Booking Launch – 3	All branded bars	All Scottish sites	3	Book your best ever party for less @ $dynamic1$	There's no party like a $dynamic2$ party	"##Hi $forename$,##
##Planning a party? There's no party like a $dynamic2$ party.##
##Save 10% when you book your party with us*. We have VIP booths and money saving drinks packages to suit all party sizes.##"	Design up the voucher with Save 10% when you book your party with us. (Minimum spend £100).	Save 10% when you book your party with us.	Dynamic - 28 days from date of send			"##Book in November and you'll be entered into our prize draw to win a VIP evening, booth and magnum of Ciroc for up to 10.##
##Book your best night out, and the Ciroc could be yours!##
PROMOCODE
##The $dynamic1$ team.##"	"Over 18's only. Offer not available in Scotland. Winner will be drawn at random from bookings received from 1 November 2016 to 30th November 2016, and notified within 7 days of the draw being made. Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time. If you wish to enter the competition, please write to Ciroc Competition, Stonegate Pub Company 500 Capability Green LU1 3LS."	
Forgotten Password	All venues	None	3	Reset password on your $dynamic1$ account	Password Reset	"##Hi $forename$,##
##We have had a password reset request.##
##Your password has now been reset to xxxpasswordxxxx.##
##Click here## to login, access your account and change this temporary password to something more memorable.##
##Come see us again soon!##
##Thank you.##"						The $dynamic1$ Team		
Auto Welcome - Bounce back for first WIFI sign in	All branded bars	All Scottish sites		Starting today - Great News from $dynamic1$!	Thanks for signing up!	"##Hi $forename$,##
##Thanks for signing up to receive news of our events, offers and promotions.##
##Look out for a range of free drinks, birthday treats and booking discounts coming your way!##"						"##Come in and party again soon.##
##Enjoy!##
##The $dynamic1$ team.##"		
WIFI sign in 1 + 1 Day	All branded bars	All Scottish sites		Free Sourz shot with your next round in $dynamic1$	Free Sourz shot with your next round	"##Hi $forename$,##
##Good to see you again. Hope you had a great night!##
##Next time you’re in, have a free shot of SOURZ on us, when you buy your next round.##"	Design up the voucher with Your free shot of SOURZ awaits!	Free shot of SOURZ	Dynamic - 14 days after date of send	sourz		"##Come in and party again soon.##
##Enjoy!##
##The $dynamic1$ team.##"	"Only one voucher per customer. Over 18's only. Offer not available in Scotland. Offer must be redeemed within 14 days of receipt.
Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time."	"Simply present your voucher on your phone, or quote your unique promo code, to claim your free Sourz with your next round."
WIFI sign in 2 + 7 Days	All branded bars	All Scottish sites		Have you claimed your free Sourz shot @ $dynamic1$ yet?	Claimed your free Sourz yet?	"##Hi $forename$,##
##Don't forget - you've got just seven nights left to claim you free Sourz shot with your next round.##
##Having a party? Find out how we can make it your best ever. Look out for more great offers coming your way!##"				sourz		"##Come in and party again soon.##
##Enjoy!##
##The $dynamic1$ team.##"	"Only one voucher per customer. Over 18's only. Offer not available in Scotland. Offer must be redeemed within 7 days of receipt.
Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time."	"Simply present your voucher on your phone, or quote your unique promo code, to claim your free Sourz with your next round."
WIFI sign in 3 + 21 Days	All branded bars	All Scottish sites		Your best ever party for less @ $dynamic1$	There's no party like a $dynamic2$ party	"##Hi $forename$,##
##Planning a party? There's no party like a $dynamic2$ party. And here's our latest deal for you!##
##Save 10% when you book your party with us*.##"	Design up the voucher with Save 10% when you book your party with us. (Minimum spend £100).	Save 10% when you book your party with us.	Dynamic - 3 months from date of send		PROMOCODE	"##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party for less!##
##The $dynamic1$ team.##"	"Over 18's only. Minimum spend £100. Offer not available in Scotland. Offer must be redeemed within 3 months of receipt.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	
Birthday -6 weeks	All branded bars	All Scottish sites		Let us help plan your best ever birthday celebration!	"Perfect packages, VIP booths - and save 10%"	"##Hi $forename$,##
##A little bird tells us it’s your birthday soon, and we'd love to help you celebrate in style.##
##Save 10% when you book your party with us.##"	Design up the voucher with Save 10% when you book your party with us. (Minimum spend £100).	Save 10% when you book your party with us.	Plus 2 weeks post the birthdate		PROMOCODE	"##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party awaits!##
##The $dynamic1$ team##"	"Over 18's only. Minimum spend £100. Offer not available in Scotland. Offer must be redeemed within 2 weeks of your birthdate.
Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time."	
Birthday -3 weeks	All branded bars	All Scottish sites		Free birthday Woo Woo cocktail waiting for you  @ $dynamic1$	Claim your free Woo Woo cocktail and 10% off your party booking	"##Hi $forename$,##
##The countdown to your birthday is on, and we'd love to see you to celebrate.##
##So, to get the party started, there's a free birthday Woo Woo cocktail waiting for you @ $dynamic1$!##
##And if you're having a party, find out how you can make it your best ever, with our perfect packages, VIP booths - and save 10% *##"	Design up the voucher with your free Woo Woo awaits!	Free Woo Woo cocktail	Plus 2 weeks post the birthdate	woo-woo	PROMOCODE	"##Call us, or click here to book one of our great value packages.##
##Come party at $dynamic1$ again soon.##
##Enjoy!##
##The $dynamic1$ team.##"	"Over 18's only. Minimum spend £100. Offer not available in Scotland. Offer must be redeemed within 2 weeks of your birthdate.
Free cocktail is offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time."	"Simply present your voucher on your phone, or quote your unique promo code, to claim your free Birthday Woo Woo."
